0.125	[work, packages, approaching, late, flagged, easy, viewing]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[work, packages, approaching, late, flagged, easy, viewing]	[click, save]	[]
0.2	[work, packages, approaching, late, flagged, easy, viewing]	[work, package, updated]	[work]
0.3	[work, package, simply, work, assignment]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work, package, work]
0.2	[work, package, simply, work, assignment]	[know, understand, work, flow, product]	[work]
0.27272728	[work, package, simply, work, assignment]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work, package, work]
0.22222222	[work, package, simply, work, assignment]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, work]
0.5	[work, package, simply, work, assignment]	[desired, work, package, work, work, packages, tab]	[work, package, work]
0	[work, package, simply, work, assignment]	[click, update]	[]
0.4	[work, package, simply, work, assignment]	[make, desired, changes, work, package]	[work, package]
0.46153846	[work, package, simply, work, assignment]	[changes, include, moving, work, package, state, work, flow]	[work, package, work]
0.36363637	[work, package, simply, work, assignment]	[declaring, approval, content, associated, work, package]	[work, package]
0.16666667	[work, package, simply, work, assignment]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.4	[work, package, simply, work, assignment]	[adding, note, work, package, information]	[work, package]
0.14285715	[work, package, simply, work, assignment]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[work, package, simply, work, assignment]	[click, save]	[]
0.5	[work, package, simply, work, assignment]	[work, package, updated]	[work, package]
0.18181819	[work, packages, tab, manage, work, assignments, release]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work, work]
0.16666667	[work, packages, tab, manage, work, assignments, release]	[know, understand, work, flow, product]	[work]
0.16666667	[work, packages, tab, manage, work, assignments, release]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work, work]
0.3	[work, packages, tab, manage, work, assignments, release]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, packages, work]
0.42857143	[work, packages, tab, manage, work, assignments, release]	[desired, work, package, work, work, packages, tab]	[work, packages, tab]
0	[work, packages, tab, manage, work, assignments, release]	[click, update]	[]
0.16666667	[work, packages, tab, manage, work, assignments, release]	[make, desired, changes, work, package]	[work]
0.26666668	[work, packages, tab, manage, work, assignments, release]	[changes, include, moving, work, package, state, work, flow]	[work, work]
0.15384616	[work, packages, tab, manage, work, assignments, release]	[declaring, approval, content, associated, work, package]	[work]
0.14285715	[work, packages, tab, manage, work, assignments, release]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.16666667	[work, packages, tab, manage, work, assignments, release]	[adding, note, work, package, information]	[work]
0.125	[work, packages, tab, manage, work, assignments, release]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[work, packages, tab, manage, work, assignments, release]	[click, save]	[]
0.2	[work, packages, tab, manage, work, assignments, release]	[work, package, updated]	[work]
0.16666667	[initial, view, tab, shows, work, packages, states, basic, information]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work, information]
0.14285715	[initial, view, tab, shows, work, packages, states, basic, information]	[know, understand, work, flow, product]	[work]
0.07692308	[initial, view, tab, shows, work, packages, states, basic, information]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work]
0.18181819	[initial, view, tab, shows, work, packages, states, basic, information]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, packages]
0.25	[initial, view, tab, shows, work, packages, states, basic, information]	[desired, work, package, work, work, packages, tab]	[work, packages]
0	[initial, view, tab, shows, work, packages, states, basic, information]	[click, update]	[]
0.14285715	[initial, view, tab, shows, work, packages, states, basic, information]	[make, desired, changes, work, package]	[work]
0.11764706	[initial, view, tab, shows, work, packages, states, basic, information]	[changes, include, moving, work, package, state, work, flow]	[work]
0.13333334	[initial, view, tab, shows, work, packages, states, basic, information]	[declaring, approval, content, associated, work, package]	[work]
0.125	[initial, view, tab, shows, work, packages, states, basic, information]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.2857143	[initial, view, tab, shows, work, packages, states, basic, information]	[adding, note, work, package, information]	[work, information]
0.11111111	[initial, view, tab, shows, work, packages, states, basic, information]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[initial, view, tab, shows, work, packages, states, basic, information]	[click, save]	[]
0.16666667	[initial, view, tab, shows, work, packages, states, basic, information]	[work, package, updated]	[work]
0.09090909	[work, packages, approaching, late, flagged, easy, viewing]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work]
0.16666667	[work, packages, approaching, late, flagged, easy, viewing]	[know, understand, work, flow, product]	[work]
0.083333336	[work, packages, approaching, late, flagged, easy, viewing]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work]
0.2	[work, packages, approaching, late, flagged, easy, viewing]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, packages]
0.2857143	[work, packages, approaching, late, flagged, easy, viewing]	[desired, work, package, work, work, packages, tab]	[work, packages]
0	[work, packages, approaching, late, flagged, easy, viewing]	[click, update]	[]
0.16666667	[work, packages, approaching, late, flagged, easy, viewing]	[make, desired, changes, work, package]	[work]
0.13333334	[work, packages, approaching, late, flagged, easy, viewing]	[changes, include, moving, work, package, state, work, flow]	[work]
0.15384616	[work, packages, approaching, late, flagged, easy, viewing]	[declaring, approval, content, associated, work, package]	[work]
0.14285715	[work, packages, approaching, late, flagged, easy, viewing]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.16666667	[work, packages, approaching, late, flagged, easy, viewing]	[adding, note, work, package, information]	[work]
0.125	[work, packages, approaching, late, flagged, easy, viewing]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[work, packages, approaching, late, flagged, easy, viewing]	[click, save]	[]
0.2	[work, packages, approaching, late, flagged, easy, viewing]	[work, package, updated]	[work]
0.0952381	[run, filters, view, work, packages, interested]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work]
0.18181819	[run, filters, view, work, packages, interested]	[know, understand, work, flow, product]	[work]
0.08695652	[run, filters, view, work, packages, interested]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work]
0.21052632	[run, filters, view, work, packages, interested]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, packages]
0.30769232	[run, filters, view, work, packages, interested]	[desired, work, package, work, work, packages, tab]	[work, packages]
0	[run, filters, view, work, packages, interested]	[click, update]	[]
0.18181819	[run, filters, view, work, packages, interested]	[make, desired, changes, work, package]	[work]
0.14285715	[run, filters, view, work, packages, interested]	[changes, include, moving, work, package, state, work, flow]	[work]
0.16666667	[run, filters, view, work, packages, interested]	[declaring, approval, content, associated, work, package]	[work]
0.15384616	[run, filters, view, work, packages, interested]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.18181819	[run, filters, view, work, packages, interested]	[adding, note, work, package, information]	[work]
0.13333334	[run, filters, view, work, packages, interested]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[run, filters, view, work, packages, interested]	[click, save]	[]
0.22222222	[run, filters, view, work, packages, interested]	[work, package, updated]	[work]
0.3	[work, package, simply, work, assignment]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work, package, work]
0.2	[work, package, simply, work, assignment]	[know, understand, work, flow, product]	[work]
0.27272728	[work, package, simply, work, assignment]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work, package, work]
0.22222222	[work, package, simply, work, assignment]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, work]
0.5	[work, package, simply, work, assignment]	[desired, work, package, work, work, packages, tab]	[work, package, work]
0	[work, package, simply, work, assignment]	[click, update]	[]
0.4	[work, package, simply, work, assignment]	[make, desired, changes, work, package]	[work, package]
0.46153846	[work, package, simply, work, assignment]	[changes, include, moving, work, package, state, work, flow]	[work, package, work]
0.36363637	[work, package, simply, work, assignment]	[declaring, approval, content, associated, work, package]	[work, package]
0.16666667	[work, package, simply, work, assignment]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.4	[work, package, simply, work, assignment]	[adding, note, work, package, information]	[work, package]
0.14285715	[work, package, simply, work, assignment]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[work, package, simply, work, assignment]	[click, save]	[]
0.5	[work, package, simply, work, assignment]	[work, package, updated]	[work, package]
0.18181819	[work, packages, tab, manage, work, assignments, release]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work, work]
0.16666667	[work, packages, tab, manage, work, assignments, release]	[know, understand, work, flow, product]	[work]
0.16666667	[work, packages, tab, manage, work, assignments, release]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work, work]
0.3	[work, packages, tab, manage, work, assignments, release]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, packages, work]
0.42857143	[work, packages, tab, manage, work, assignments, release]	[desired, work, package, work, work, packages, tab]	[work, packages, tab]
0	[work, packages, tab, manage, work, assignments, release]	[click, update]	[]
0.16666667	[work, packages, tab, manage, work, assignments, release]	[make, desired, changes, work, package]	[work]
0.26666668	[work, packages, tab, manage, work, assignments, release]	[changes, include, moving, work, package, state, work, flow]	[work, work]
0.15384616	[work, packages, tab, manage, work, assignments, release]	[declaring, approval, content, associated, work, package]	[work]
0.14285715	[work, packages, tab, manage, work, assignments, release]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.16666667	[work, packages, tab, manage, work, assignments, release]	[adding, note, work, package, information]	[work]
0.125	[work, packages, tab, manage, work, assignments, release]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[work, packages, tab, manage, work, assignments, release]	[click, save]	[]
0.2	[work, packages, tab, manage, work, assignments, release]	[work, package, updated]	[work]
0.16666667	[initial, view, tab, shows, work, packages, states, basic, information]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work, information]
0.14285715	[initial, view, tab, shows, work, packages, states, basic, information]	[know, understand, work, flow, product]	[work]
0.07692308	[initial, view, tab, shows, work, packages, states, basic, information]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work]
0.18181819	[initial, view, tab, shows, work, packages, states, basic, information]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, packages]
0.25	[initial, view, tab, shows, work, packages, states, basic, information]	[desired, work, package, work, work, packages, tab]	[work, packages]
0	[initial, view, tab, shows, work, packages, states, basic, information]	[click, update]	[]
0.14285715	[initial, view, tab, shows, work, packages, states, basic, information]	[make, desired, changes, work, package]	[work]
0.11764706	[initial, view, tab, shows, work, packages, states, basic, information]	[changes, include, moving, work, package, state, work, flow]	[work]
0.13333334	[initial, view, tab, shows, work, packages, states, basic, information]	[declaring, approval, content, associated, work, package]	[work]
0.125	[initial, view, tab, shows, work, packages, states, basic, information]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.2857143	[initial, view, tab, shows, work, packages, states, basic, information]	[adding, note, work, package, information]	[work, information]
0.11111111	[initial, view, tab, shows, work, packages, states, basic, information]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[initial, view, tab, shows, work, packages, states, basic, information]	[click, save]	[]
0.16666667	[initial, view, tab, shows, work, packages, states, basic, information]	[work, package, updated]	[work]
0.09090909	[work, packages, approaching, late, flagged, easy, viewing]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work]
0.16666667	[work, packages, approaching, late, flagged, easy, viewing]	[know, understand, work, flow, product]	[work]
0.083333336	[work, packages, approaching, late, flagged, easy, viewing]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work]
0.2	[work, packages, approaching, late, flagged, easy, viewing]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, packages]
0.2857143	[work, packages, approaching, late, flagged, easy, viewing]	[desired, work, package, work, work, packages, tab]	[work, packages]
0	[work, packages, approaching, late, flagged, easy, viewing]	[click, update]	[]
0.16666667	[work, packages, approaching, late, flagged, easy, viewing]	[make, desired, changes, work, package]	[work]
0.13333334	[work, packages, approaching, late, flagged, easy, viewing]	[changes, include, moving, work, package, state, work, flow]	[work]
0.15384616	[work, packages, approaching, late, flagged, easy, viewing]	[declaring, approval, content, associated, work, package]	[work]
0.14285715	[work, packages, approaching, late, flagged, easy, viewing]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.16666667	[work, packages, approaching, late, flagged, easy, viewing]	[adding, note, work, package, information]	[work]
0.125	[work, packages, approaching, late, flagged, easy, viewing]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[work, packages, approaching, late, flagged, easy, viewing]	[click, save]	[]
0.2	[work, packages, approaching, late, flagged, easy, viewing]	[work, package, updated]	[work]
0.0952381	[run, filters, view, work, packages, interested]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work]
0.18181819	[run, filters, view, work, packages, interested]	[know, understand, work, flow, product]	[work]
0.08695652	[run, filters, view, work, packages, interested]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work]
0.21052632	[run, filters, view, work, packages, interested]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, packages]
0.30769232	[run, filters, view, work, packages, interested]	[desired, work, package, work, work, packages, tab]	[work, packages]
0	[run, filters, view, work, packages, interested]	[click, update]	[]
0.18181819	[run, filters, view, work, packages, interested]	[make, desired, changes, work, package]	[work]
0.14285715	[run, filters, view, work, packages, interested]	[changes, include, moving, work, package, state, work, flow]	[work]
0.16666667	[run, filters, view, work, packages, interested]	[declaring, approval, content, associated, work, package]	[work]
0.15384616	[run, filters, view, work, packages, interested]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.18181819	[run, filters, view, work, packages, interested]	[adding, note, work, package, information]	[work]
0.13333334	[run, filters, view, work, packages, interested]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[run, filters, view, work, packages, interested]	[click, save]	[]
0.22222222	[run, filters, view, work, packages, interested]	[work, package, updated]	[work]
0.09090909	[work, packages, linked, feature, change, request, asset]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work]
0.16666667	[work, packages, linked, feature, change, request, asset]	[know, understand, work, flow, product]	[work]
0.083333336	[work, packages, linked, feature, change, request, asset]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work]
